Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-02-28,Drive-Away Dolls,2024,https://boxd.it/5VMjAL,3,,We get it you did acid once and know a lesbian,,2024-02-27
2024-02-28,The Boy and the Heron,2023,https://boxd.it/5VMlV7,4,,Not sure who was the boy and who was the heron but I think it was about WWII,,2024-02-27
2024-02-28,Bottoms,2023,https://boxd.it/5VMDWx,4.5,,Marshawn Lynch deserves an Oscar,,2024-02-27
2024-02-28,The Holdovers,2023,https://boxd.it/5VMILJ,3.5,,"I saw Paul Giamatti before a comedy show that he was supposed to perform in. He was very cordial but then didn’t end up performing. Do I stink? Am I so smelly he couldn’t perform? I ate a lot of garlic recently but not enough to smell that bad. Made me sad, it was most of the reason I got the ticket.",,2024-02-27
2024-02-28,Saltburn,2023,https://boxd.it/5VMJWD,4,,Whole theater screamed when he slurped that tub juice. Cinema.,,2024-02-27
2024-02-28,John Wick: Chapter 4,2023,https://boxd.it/5VQiVr,4,,John Wick: More,,2024-02-27
2024-02-28,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/5VQk3r,,,Quantasuckia,,2024-02-27
2024-02-28,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/5VQnYl,4,,+1 bonus to stars for being better than I thought it would be,,2024-02-27
2024-02-28,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/5VQqTj,3,,Give me a motorcycle and a parachute and I can do that stunt get real,,2024-02-27
2024-02-28,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/5VQsx5,1,,Should’ve been Shia,,2024-02-27
2024-02-28,Napoleon,2023,https://boxd.it/5VQuUv,3.5,,Napoleon was giving Zuckerberg social network vibes,,2024-02-27
2024-02-28,Dream Scenario,2023,https://boxd.it/5VQwhl,5,,In the final moment of this movie I was crying and my roommate was laughing,,2024-02-27
2024-02-28,Theater Camp,2023,https://boxd.it/5VQxxJ,5,,Better Now that I’ve seen this movie,,2024-02-27
2024-02-28,No One Will Save You,2023,https://boxd.it/5VQyBx,1,,Silent and not in a good way,,2024-02-27
2025-09-10,Eddington,2025,https://boxd.it/b1lgFj,5,,"Guns, Germs, and Fear.",,2025-09-09
